date,Number of Sunspots
1818,0.10777198890446994
1819,0.090934214970777
1820,0.047867973193129576
1821,0.02185328106287808
1822,0.01638740186494979
1823,0.0
1824,0.014794823137512653
1825,0.08288893210641063
1826,0.18961687666970325
1827,0.26615965689836946
1828,0.3266011322729678
1829,0.33618227785909494
1830,0.31490219761098087
1831,0.22886066102336813
1832,0.11821987139785546
1833,0.03309211132378681
1834,0.044832492297614046
1835,0.14395529033644838
1836,0.3183940913332406
1837,0.3407474129195369
1838,0.33926323223845156
1839,0.27607807813955393
1840,0.2598117431328747
1841,0.17253344524396858
1842,0.12151857272997123
1843,0.052714003500619264
1844,0.06837536778008464
1845,0.1712846863260898
1846,0.252392601615198
1847,0.3875144579669795
1848,0.4901090698010146
1849,0.6758037606067739
1850,0.4656028332497416
1851,0.44959415335168945
1852,0.3777216061860942
1853,0.27076573487415173
1854,0.1397893487005742
1855,0.04132163730718446
1856,0.024512612906940835
1857,0.15587991442930693
1858,0.38411619599373575
1859,0.6601533312179493
1860,0.6745531279352559
1861,0.5415212340194683
1862,0.4126738794435858
1863,0.3060380564398088
1864,0.3272748445889155
1865,0.20989385549198028
1866,0.10863179012661595
1867,0.04587653663879136
1868,0.22843308162948997
1869,0.45564346909321674
1870,0.8606917305546741
1871,0.6862032611032067
1872,0.6258825169892124
1873,0.40541674769951996
1874,0.2723215656570826
1875,0.09978812041311404
1876,0.06460870346819493
1877,0.07109737248840801
1878,0.015210293048916548
1879,0.031444158981340266
1880,0.19456372610957118
1881,0.3320265719520558
1882,0.36385968862912876
1883,0.3903088119389541
1884,0.3890113913594003
1885,0.3165092070380871
1886,0.15244070954072284
1887,0.0754475572433135
1888,0.0357309437437072
1889,0.032692917899219014
1890,0.0380871469953018
1891,0.21611717862370386
1892,0.4484409838358825
1893,0.5244992169667441
1894,0.47945177436359343
1895,0.39205912156975137
1896,0.2533298140324683
1897,0.15739480229689753
1898,0.15987184867498488
1899,0.06949036306130178
1900,0.052683296314114045
1901,0.011044351413042365
1902,0.025671207918359824
1903,0.14616620776482386
1904,0.2559225856726308
1905,0.3880262444087331
1906,0.3305321555421354
1907,0.37786216567550696
1908,0.2961207538575134
1909,0.2674493587315885
1910,0.10945064843342171
1911,0.02934583457015057
1912,0.016387234066116432
1913,0.002866004073820075
1914,0.05388087658781743
1915,0.28902627511591966
1916,0.34896633960996065
1917,0.6425888205369662
1918,0.4967808632813699
1919,0.3889884029192298
1920,0.2282595496693216
1921,0.1565042938882463
1922,0.08252044586834804
1923,0.030011156944430226
1924,0.09813099506777702
1925,0.27052007738211
1926,0.39178275689120445
1927,0.4225104148540897
1928,0.47852325951918584
1929,0.39821079459962955
1930,0.2158203424874868
1931,0.12491683470321503
1932,0.0632510710739366
1933,0.02838367605965382
1934,0.04829216864386828
1935,0.21872728947664716
1936,0.49018052413755453
1937,0.7061219894162564
1938,0.6761620111160013
1939,0.5466800413523445
1940,0.41619466253165593
1941,0.2896608903036941
1942,0.18354708947050571
1943,0.09522298535267204
1944,0.053941591799022186
1945,0.2006305208962404
1946,0.5704371679785458
1947,0.7961247530630418
1948,0.7150779445157498
1949,0.7064495327389786
1950,0.43801754403922327
1951,0.3611574562166699
1952,0.16190909431083086
1953,0.0691218768232392
1954,0.01858808356449021
1955,0.19625986468366477
1956,0.7435984325575377
1957,1.0
1958,0.9715753810250058
1959,0.8349284010767986
1960,0.5880117186230583
1961,0.27945586865512756
1962,0.19323008894848354
1963,0.14314666775847773
1964,0.0500626421011412
1965,0.07600028660040738
1966,0.2433135101384894
1967,0.4904551828612955
1968,0.5543669338751221
1969,0.5519514417024064
1970,0.5468028700983653
1971,0.3465920140843629
1972,0.3585922595181231
1973,0.19612680020880885
1974,0.17778437413636036
1975,0.07796554653674113
1976,0.06271005966870581
1977,0.14081292158408137
1978,0.4833004084055805
1979,0.8160639528337615
1980,0.8119087782896947
1981,0.7369212974809872
1982,0.6005609179401619
1983,0.3337052314810076
1984,0.21988918453178893
1985,0.07079030062335588
1986,0.049070084035333736
1987,0.12043358547345362
1988,0.4534325796313135
1989,0.7824088764240458
1990,0.7103391096963059
1991,0.753349642261277
1992,0.4907521588298738
1993,0.2782071097372488
1994,0.161601686848112
1995,0.08758713164170856
1996,0.037098783900328385
1997,0.10201950929915964
1998,0.3236435100361321
1999,0.5032396081763001
2000,0.6434500760156681
2001,0.630561839155757
2002,0.6049827527969128
2003,0.3648013756819554
2004,0.23800796272583835
2005,0.16503065600786102
2006,0.08610295096062315
2007,0.04114762991698823
2008,0.009445955659382017
2009,0.011771088160332456
2010,0.08681945197907816
2011,0.295935392079593
2012,0.3097481166119111
2013,0.3451794835051229
2014,0.4173720789788836
2015,0.2547468192472645
2016,0.14268787778159422
2017,0.07513024964942629
2018,0.019959671228389816
2019,0.009443806656779312
